trace_name,start_time
AKOS_GH_HH_2012-10-09T12:04:00.000000Z,2012-10-09 12:04:00.000000
AKOS_GH_HH_2012-10-09T12:04:30.000000Z,2012-10-09 12:04:30.000000
AKOS_GH_HH_2012-10-09T12:05:00.000000Z,2012-10-09 12:05:00.000000
AKOS_GH_HH_2012-10-09T12:05:30.000000Z,2012-10-09 12:05:30.000000
AKOS_GH_HH_2012-10-09T12:06:00.000000Z,2012-10-09 12:06:00.000000
AKOS_GH_HH_2012-10-09T12:06:30.000000Z,2012-10-09 12:06:30.000000
AKOS_GH_HH_2012-10-09T12:07:00.000000Z,2012-10-09 12:07:00.000000
AKOS_GH_HH_2012-10-09T12:07:30.000000Z,2012-10-09 12:07:30.000000
AKOS_GH_HH_2012-10-09T12:08:00.000000Z,2012-10-09 12:08:00.000000
AKOS_GH_HH_2012-10-09T12:08:30.000000Z,2012-10-09 12:08:30.000000
AKOS_GH_HH_2012-10-09T12:09:00.000000Z,2012-10-09 12:09:00.000000
AKOS_GH_HH_2012-10-09T12:09:30.000000Z,2012-10-09 12:09:30.000000
AKOS_GH_HH_2012-10-09T12:10:00.000000Z,2012-10-09 12:10:00.000000
AKOS_GH_HH_2012-10-09T12:10:30.000000Z,2012-10-09 12:10:30.000000
AKOS_GH_HH_2012-10-09T12:11:00.000000Z,2012-10-09 12:11:00.000000
AKOS_GH_HH_2012-10-09T12:11:30.000000Z,2012-10-09 12:11:30.000000
AKOS_GH_HH_2012-10-09T12:12:00.000000Z,2012-10-09 12:12:00.000000
AKOS_GH_HH_2012-10-09T12:12:30.000000Z,2012-10-09 12:12:30.000000
AKOS_GH_HH_2012-10-09T12:13:00.000000Z,2012-10-09 12:13:00.000000
AKOS_GH_HH_2012-10-09T12:13:30.000000Z,2012-10-09 12:13:30.000000
AKOS_GH_HH_2012-10-09T12:14:00.000000Z,2012-10-09 12:14:00.000000
AKOS_GH_HH_2012-10-09T12:14:30.000000Z,2012-10-09 12:14:30.000000
AKOS_GH_HH_2012-10-09T12:15:00.000000Z,2012-10-09 12:15:00.000000
AKOS_GH_HH_2012-10-09T12:15:30.000000Z,2012-10-09 12:15:30.000000
AKOS_GH_HH_2012-10-09T12:16:00.000000Z,2012-10-09 12:16:00.000000
AKOS_GH_HH_2012-10-09T12:16:30.000000Z,2012-10-09 12:16:30.000000
AKOS_GH_HH_2012-10-09T12:17:00.000000Z,2012-10-09 12:17:00.000000
AKOS_GH_HH_2012-10-09T12:17:30.000000Z,2012-10-09 12:17:30.000000
AKOS_GH_HH_2012-10-09T12:18:00.000000Z,2012-10-09 12:18:00.000000
AKOS_GH_HH_2012-10-09T12:18:30.000000Z,2012-10-09 12:18:30.000000
AKOS_GH_HH_2012-10-09T12:19:00.000000Z,2012-10-09 12:19:00.000000
